,anime_id,Name,Score,Genres,Synopsis,Type,Episodes,Aired,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Start,End
7238,39030,Hataage! Kemono Michi,6.61,"['Comedy', 'Fantasy']","Professional wrestler Genzou Shibata sports the body of a mountain, but beneath his hulking appearance is a man with an extreme affection for animals. Facing off his opponents in the ring as the legendary ""Animal Mask,"" Genzou wins the hearts of crowds everywhere with his iconic tiger persona.

During the bout for the title of World Champion against his greatest rival, the Macadamian Ogre, Genzou is suddenly summoned to a fantasy world by a princess. With her kingdom being threatened by a monster infestation, she pleads the wrestler for assistance—to which he answers by knocking her out with a German suplex! Escaping the castle and finding himself stranded in a mysterious land, Genzou decides to begin his career as a beast hunter to capture and befriend creatures far and wide. Joined by the wolf-girl Shigure, the dragon-girl Hanako, and the vampire Carmilla Vanstein, the professional wrestler pursues all kinds of dangerous requests for the sake of fulfilling his dream as a pet shop owner.",TV,12.0,"Oct 2, 2019 to Dec 18, 2019",Finished Airing,"AT-X, Nippon Columbia, Sammy, Kadokawa Media House, Kadokawa, CA-Cygames Anime Fund",Funimation,ENGI,Manga,23,PG-13 - Teens 13 or older,5803.0,1161,247,92189.0,190603,2019-10-02,2019-12-18
7249,39063,Fairy Gone,5.79,"['Action', 'Fantasy']","""Once upon a time, fairies were tools of war.""

The story takes place in a world where fairies possess and dwell in animals, giving them mysterious abilities. By removing the organs of a possessed animal and transplanting them into humans, fairies can be summoned as an alter ego and be used as a weapon. Such individuals who used fairies as war tools were called ""Fairy Soldiers."" Once the war was over and they completed their roles, the soldiers lost their purpose. Some began working for the government, some joined the mafia, and some even became terrorists, as each chose their own way to live.

Nine years have passed since the war. The protagonist Mariya is a new recruit of ""Dorothea,"" an organization which investigates and suppresses fairy-related crimes. Amidst the unstable political situation, criminals with lingering wounds from the war and past conflicts emerge and engage in terrorism as an act of revenge. This is the story of Fairy Soldiers, fighting for their own justice in a chaotic postwar world.

(Source: MAL News)",TV,12.0,"Apr 8, 2019 to Jun 24, 2019",Finished Airing,"Mainichi Broadcasting System, Movic, AT-X, TOHO animation, Medicos Entertainment, BS11, Sanyo",Funimation,P.A. Works,Original,23,PG-13 - Teens 13 or older,9722.0,1345,207,52290.0,162680,2019-04-08,2019-06-24
7251,39071,Machikado Mazoku,7.65,"['Comedy', 'Fantasy']","After a strange dream of a mysterious ancestor, high school student Yuuko Yoshida wakes to see that she has grown demonic horns and a tail. Dazed and confused, her mother reveals to her a dark family secret: her family is descended from a Dark Clan that was banished to live powerless and destitute by their mortal enemies, the magical girls of the Light Clan. The only way to lift their ancestry's curse is for Yuuko to find a magical girl, murder her, and splatter her blood all over her ancestor's Demon God statue.

Fortunately for ""Shadow Mistress Yuuko,"" a magical girl saves her from being run over by an oncoming truck. Unfortunately, Momo Chiyoda happens to be Yuuko's classmate at Sakuragaoka High and is much stronger than her in both strength and endurance. Taking pity on her wimpy assailant, the magical girl agrees to train Yuuko and help her unlock her dormant powers. Now, Yuuko must rise up and defeat her generous frenemy to save her family from the terrible grip of poverty.",TV,12.0,"Jul 12, 2019 to Sep 27, 2019",Finished Airing,"Pony Canyon, TBS, Houbunsha, Medicos Entertainment, RAY",Sentai Filmworks,J.C.Staff,4-koma manga,24,PG-13 - Teens 13 or older,1257.0,1394,1121,59676.0,155627,2019-07-12,2019-09-27
7261,39184,A3! Season Spring & Summer,7.13,['Drama'],"Home to countless street acts and performances, Veludo Way attracts those interested in watching professional actors. After receiving a mysterious letter, Izumi Tachibana arrives at the venue where her father directed a once-popular theater group, Mankai Company, but learns that the building is about to be repurposed due to excessive debt. At the last minute, she convinces the debt collector to give the ensemble one more chance. He is willing to accept but on three conditions: their debut show must be successfully produced by the following month, the four all-male sub-troupes must be reinstated, and the debt must be paid off within a year. To top it off, Izumi herself must become the director.

With no time to lose, Izumi quickly gathers five people for the Spring Troupe: Sakuya Sakuma, an enthusiastic high school student; Masumi Usui, a boy infatuated with Izumi; Tsuzuru Minagi, an aspiring playwright; Itaru Chigasaki, a mature office worker; and Citron, a friendly foreigner. Though they have little or no experience in acting, it's up to Izumi to train and prepare them for a performance that will restore Mankai Company to its former glory.",TV,12.0,"Jan 14, 2020 to Jun 23, 2020",Finished Airing,"Pony Canyon, Liber Entertainment",Funimation,"P.A. Works, Studio 3Hz",Game,23,PG-13 - Teens 13 or older,3382.0,3594,260,10416.0,33392,2020-01-14,2020-06-23
7269,39198,Kanata no Astra,8.08,"['Adventure', 'Award Winning', 'Mystery', 'Sci-Fi']","In the year 2063, space travel is feasible and commercially available. As the cheerful Aries Spring arrives at the spaceport to attend a camp on the distant planet McPa, her purse is suddenly snatched by a reckless thief. Luckily, the athletic Kanata Hoshijima is able to retrieve it for her, and Aries soon discovers that he is among the group of teenagers who will be traveling with her on the excursion as team B-5.

Upon arriving at their campsite, the group's trip takes a turn for the worse when a strange sphere of black light sucks them into the vast reaches of outer space. Stranded with seemingly no hope, they find an abandoned ship nearby that provides them with the means to return home. However, they soon discover that they are not as close to their campsite as they initially thought, but are in fact thousands of light-years away from home.

With this realization, the nine members must cautiously manage their resources, maintain their strength, and unite as one to conquer the darkness of space together. While the reason behind their trip's sudden obstruction remains unknown, they nevertheless embark on the treacherous voyage back home aboard their new ship, the Astra.",TV,12.0,"Jul 3, 2019 to Sep 18, 2019",Finished Airing,"AT-X, Docomo Anime Store, Shueisha, Kadokawa Media House, Kadokawa",Funimation,Lerche,Manga,28,PG-13 - Teens 13 or older,494.0,774,3049,139273.0,288362,2019-07-03,2019-09-18
7272,39221,Bem,6.06,"['Action', 'Supernatural']","Young detective Sonia Summers has been transferred to the outskirts of the port city Libra after stirring up trouble with her superiors. Libra is separated into two sectors—""the Upper,"" the center of wealth and politics, and ""the Outside."" The Outside is home to crime, corruption, and curious incidents involving monstrosities or youkai. Each case that Sonia works on seems to implicate the involvement of these mysterious creatures.

Sonia crosses paths with three peculiar humanoid youkai—Bem, Bela and Belo—who seek to protect humans and fight against the evil youkai that terrorize them. Living as ""Youkai-Ningen,"" they are excluded by other youkai for their human-like lifestyles, and rejected and hurt by humans when they reveal their true forms.

Despite the hardships they face, these three Youkai-Ningen secretly live among humans, continuing to pursue their dreams of one day becoming human as well.",TV,12.0,"Jul 15, 2019 to Oct 14, 2019",Finished Airing,"TV Tokyo, Nihon Ad Systems, Pony Canyon, KlockWorx, flying DOG",Funimation,"Production I.G, LandQ studios",Original,24,PG-13 - Teens 13 or older,8548.0,2448,90,21142.0,68627,2019-07-15,2019-10-14
7281,39282,Beyblade Burst Gachi,6.18,"['Action', 'Adventure', 'Sci-Fi', 'Sports']","Legendary Blader Valt Aoi has been training the next generation of elite Bladers at Spain’s BC Sol. One day, rookie Blader Koryu Drum witnesses Valt unleashing his newly evolved Gachi Bey, Slash Valkyrie. To Drum's surprise, Valkyrie radiates a golden light as it rockets around the stadium. Inspired by the limitless possibilities of this “Gold Turbo” state, Drum seeks to achieve the same bond with his Bey, Dragon. Here begins the story of Dante and Dragon’s rise to the peak of the Blading world.

(Source: USA Beyblade Burst Website)",TV,52.0,"Apr 5, 2019 to Mar 27, 2020",Finished Airing,"TV Tokyo, d-rights, ADK Emotions",ADK Emotions NY,OLM,Manga,14,PG - Children,7967.0,6296,41,4373.0,9072,2019-04-05,2020-03-27
7288,39326,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,6.5,"['Comedy', 'Romance', 'Ecchi']","As far as it goes, many boys, especially in their teenage years, want to have a girlfriend. Keiki Kiryuu is no exception. One eventful afternoon, his days of yearning for a lover seem to come to an end when he receives a love letter from an anonymous sender—along with a pair of white panties. 

To determine the identity of his secret admirer, referred to as Cinderella, he proceeds to investigate several possible candidates including his senior Sayuki Tokihara, his underclassman Yuika Koga, and his classmate Mao Nanjou. However, as Keiki seeks to uncover who this mystery girl might be, he comes to know about the perverted fetishes hidden behind each candidate's innocent exteriors...",TV,12.0,"Jul 8, 2019 to Sep 23, 2019",Finished Airing,"AT-X, Bandai Namco Live Creative, GYAO!, Kadokawa, INCS toenter, Bandai Namco Arts",Funimation,Geek Toys,Light novel,23,PG-13 - Teens 13 or older,6398.0,720,894,150487.0,307747,2019-07-08,2019-09-23
7294,39355,Radiant 2nd Season,7.58,"['Action', 'Adventure', 'Fantasy']","After fleeing from Rumble Town, Seth, Doc and Melie are back at the Artemis Institute. Thanks to Alma, Seth learns more about Piodon, his mysterious brother. But the quest for the Nemeses mythical nest Radiant has already waited too long, so the Horned Boy and his friends head to the island-continent of the Wizard Knights.

This location may be a new city for audiences, but it's a decaying world that's falling apart! Not only must Seth deal with these hardships, but he must also face a personal phenomenon where visions are invading his mind a little more each day.

(Source: monstersandcritics)",TV,21.0,"Oct 2, 2019 to Feb 26, 2020",Finished Airing,NHK Enterprises,Funimation,Lerche,Other,24,PG-13 - Teens 13 or older,1447.0,1884,242,42177.0,104270,2019-10-02,2020-02-26
7298,39388,Koisuru Asteroid,6.88,['Slice of Life'],"In a fateful childhood encounter, Mira Kinohata met a stargazing dreamer named Ao Manaka. Though their time together was short, Ao showed Mira the wonders of astronomy, from orbiting planets to distant stars. Before they parted, Mira learned that a star with her name exists, but there are none with Ao's. And so, she forged a promise: one day, she would discover a new asteroid and name it after Ao.

Years later, Mira is still fascinated with astronomy. Now in high school at Hoshizaki Academy, she tries to join the Astronomy Club. Unfortunately, she finds out that the club has been merged with the Geology Club to form a single Earth Sciences Club. She joins this new club and finds a pleasant surprise—she reunites with Ao after years of separation.

Alongside their new clubmates, Mira and Ao begin their journey together to fulfill their promise. How hard could it possibly be to find an asteroid?",TV,12.0,"Jan 3, 2020 to Mar 27, 2020",Finished Airing,"AT-X, flying DOG, Houbunsha, Kadokawa Media House, RAY, Kadokawa, GRANTdesign",Funimation,Doga Kobo,4-koma manga,23,PG-13 - Teens 13 or older,4459.0,2150,301,32097.0,84200,2020-01-03,2020-03-27
7311,39463,Gleipnir,6.99,"['Action', 'Mystery', 'Supernatural', 'Ecchi']","Shuuichi Kagaya is what one would consider an average high school student, but sometimes, he turns into a monster. He doesn't know how or why he got his abilities, only that he would prefer no one knows about them. One night, he finds a building ablaze with a girl trapped inside. Deciding to save her, he transforms and carries her to safety, but accidentally drops his phone.

The next day, the girl he saved—Claire Aoki—finds him and confronts him about his monster identity. She even goes so far as to push him off the school roof to prove her theory after Shuuichi denies her allegations. Desperate to save himself, he transforms, and Claire snaps a picture in order to blackmail him into telling her everything he knows about monsters, which, ironically, isn't much.

As it turns out, Claire has a secret of her own: she has been searching for her sister, who also became a monster. She enlists Shuuichi's help to track her down, but they aren't the only ones searching for answers.",TV,13.0,"Apr 5, 2020 to Jun 28, 2020",Finished Airing,"Kodansha, bilibili, Good Smile Film",Funimation,PINE JAM,Manga,23,R - 17+ (violence & profanity),4036.0,446,1874,215467.0,464215,2020-04-05,2020-06-28
7313,39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.0,['Fantasy'],"Urano Motosu loves books and has an endless desire to read literature, no matter the subject. She almost fulfills her dream job of becoming a librarian before her life is ended in an accident. As she draws her last breath, she wishes to be able to read more books in her next life.

As if fate was listening to her prayer, she wakes up reincarnated as Myne—a frail five-year-old girl living in a medieval era. What immediately comes to her mind is her passion. She tries to find something to read, only to become frustrated by the lack of books at her disposal.  

Without the printing press, books have to be written and copied by hand, making them very expensive; as such, only a few nobles can afford them—but this won't stop Myne. She will prove that her will to read is unbreakable, and if there are no books around, she will make them herself!",TV,14.0,"Oct 3, 2019 to Dec 26, 2019",Finished Airing,"WOWOW, Genco, MediaNet, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, ABC Animation, Happinet, Tokyo Animator Gakuin, TO Books, JTB Next Creation",Crunchyroll,Ajia-do,Light novel,23,PG-13 - Teens 13 or older,592.0,801,2581,146468.0,281948,2019-10-03,2019-12-26
7314,39469,Tsugu Tsugumomo,7.44,"['Action', 'Comedy', 'Supernatural', 'Ecchi']","When ""ordinary boy"" Kagami Kazuya meets the beautiful tsukumogami Kiriha, his life gets turned upside-down. As a ""Taboo Child"" who draws the supernatural towards him, he receives orders from the God of the Land, Kukuri, to become an exorcist and defeat these evil forces. And so, he and Kiriha do battle.

To find out information on these supernatural beings, Kazuya and his friends set up a counselor's club at school. But behind the typical-seeming troubles he hears about, he uncovers a major plot to target Kukuri...

In addition to the sadistic-yet-beautiful tsukumogami Kiriha, the situation draws other girls to Kazuya to join the fray!

(Source: Crunchyroll)",TV,12.0,"Apr 5, 2020 to Jun 21, 2020",Finished Airing,Saber Links,Crunchyroll,Zero-G,Manga,24,R+ - Mild Nudity,1934.0,1893,337,38001.0,103521,2020-04-05,2020-06-21
7318,39506,Phantasy Star Online 2: Episode Oracle,6.52,"['Action', 'Sci-Fi']","A TV anime adaptation of episode 1-3 out of 5 the total episodes from the Phantasy Star Online 2 game. Some anime-original content will be created as well.

Episode 1: During their qualification exam in planet Naberius, the player and fellow ARKS trainee Afin were attacked by vile organisms known as Darkers. This is followed by the two discovering a mysterious girl who lost most of her memories, and the truth regarding Naberius and the recent spike of Darker activities. 

Episode 2: The plot follows the player and Matoi as they try to unravel a dark conspiracy regarding the origin and purpose of ARKS.

Episode 3: The discovery of the planet Harukotan brought a new quest into the fray, as the peace between the Shironian and Kuronites that dwell in the planet is disturbed by the Kuronites' sudden attack. The newly-reformed ARKS is tasked to investigate the reason behind it all, and it seems like the truth is more complicated and horrifying than expected... 

(Source: phantasystar.fandom.com)",TV,25.0,"Oct 7, 2019 to Mar 30, 2020",Finished Airing,"Frontier Works, Pony Canyon, Sega, Tokyo MX, Sammy, Studio Kai, ADK Emotions, Sega Games",Funimation,Gonzo,Game,23,PG-13 - Teens 13 or older,6242.0,4177,38,6306.0,24547,2019-10-07,2020-03-30
7321,39527,Try Knights,4.72,['Sports'],"Riku Haruma enters high school without a future in sight. He sees people playing like monsters on the ground, jumping higher than anyone else, running fast, deciding to try their best. There, he sees Akira Kariya playing rugby, a sport he was once passionate about but gave up due to his physique. While Akira is running roughly, Riku gives him a piece of advice without thinking. From that, Riku feels his dying passion for the sport set ablaze, and his future starts to brighten up...

(Source: MAL News)",TV,12.0,"Jul 31, 2019 to Oct 16, 2019",Finished Airing,Nippon Television Network,Sentai Filmworks,Gonzo,Manga,22,PG-13 - Teens 13 or older,12291.0,4653,27,5570.0,19255,2019-07-31,2019-10-16
7324,39531,Kuutei Dragons,6.96,"['Adventure', 'Fantasy']","It has been half a century since humans took to the sky to hunt dragons. Although dragons present a great danger, every part of them is extremely valuable, and brave dragon hunters, called ""drakers,"" risk their lives aboard special dragon-hunting airships to pursue them.

However, despite the thrill and excitement of hunting, the life of a draker is not easy. Ostracized by society, the drakers have no place to call home. Life in the air is not any easier either: maintaining an airship is dull and expensive—and dragons are even harder to catch, as each one is unique. 

One of the last remaining such airships is the Quin Zaza. Its courageous crew includes Takita, an eager newcomer trying to earn her place on the ship; Mika, a reckless but highly skilled hunter; and Jirou, an earnest young man chasing both the dragons and his past. United by the same goal, these hunters face arduous aerial battles that involve daring feats of skill, strategy, and more than their fair share of danger.",TV,12.0,"Jan 9, 2020 to Mar 26, 2020",Finished Airing,"Kodansha, Fuji TV, Bandai, Nexon, BS Fuji, TOHO animation, Hakuhodo DY Media Partners, Fuji Creative, Bandai Spirits",Sentai Filmworks,Polygon Pictures,Manga,23,PG-13 - Teens 13 or older,4139.0,3128,103,14849.0,43741,2020-01-09,2020-03-26
7326,39534,Jibaku Shounen Hanako-kun,7.84,['Supernatural'],"The famous ""Seven Wonders"" that every school seems to have are a staple of Japanese urban legends. One of the most well-known of these tales is that of Hanako-san: the ghost of a young girl who haunts the school's bathrooms.

Kamome Academy has its own version of Hanako-san's legend. Rumors claim that if one successfully manages to summon Hanako-san, she will grant her summoner any wish. Lured by the gossip, many people have tried to call upon her, yet every attempt has failed. However, when Nene Yashiro, a girl hoping for romantic fortune, dares to summon Hanako-san, she discovers that the rumored ""girl"" is actually a boy!

After a series of unfortunate events involving Nene's romantic desires, she is unwillingly entangled in the world of the supernatural, becoming Hanako-kun's assistant. Soon, she finds out about Hanako-kun's lesser-known duty: maintaining the fragile balance between mortals and apparitions.",TV,12.0,"Jan 10, 2020 to Mar 27, 2020",Finished Airing,"Square Enix, Studio Hibari, Pony Canyon, TBS, Half H.P Studio, Contents Seed",Funimation,Lerche,Manga,24,PG-13 - Teens 13 or older,848.0,361,11418,271507.0,555251,2020-01-10,2020-03-27
7327,39535,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,"['Drama', 'Fantasy', 'Ecchi']","Despite being bullied, scorned, and oppressed all of his life, a 34-year-old shut-in still found the resolve to attempt something heroic—only for it to end in a tragic accident. But in a twist of fate, he awakens in another world as Rudeus Greyrat, starting life again as a baby born to two loving parents.

Preserving his memories and knowledge from his previous life, Rudeus quickly adapts to his new environment. With the mind of a grown adult, he starts to display magical talent that exceeds all expectations, honing his skill with the help of a mage named Roxy Migurdia. Rudeus learns swordplay from his father, Paul, and meets Sylphiette, a girl his age who quickly becomes his closest friend.

As Rudeus' second chance at life begins, he tries to make the most of his new opportunity while conquering his traumatic past. And perhaps, one day, he may find the one thing he could not find in his old world—love.",TV,11.0,"Jan 11, 2021 to Mar 22, 2021",Finished Airing,"Frontier Works, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE, Toho Music",Funimation,Studio Bind,Light novel,23,R - 17+ (violence & profanity),196.0,110,28815,706690.0,1158166,2021-01-11,2021-03-22
7329,39539,No Guns Life,6.86,"['Action', 'Drama', 'Sci-Fi']","The technology to create powerful cyborg soldiers has been released for public use by the Berühren Corporation. Those outfitted with robotic parts are known as the Extended. Juuzou Inui, one such Extended, was created as a soldier and has no memories of his former life. But now, after the war, he runs a business that takes care of Extended-related incidents around the city. 

Rumors of a renegade Extended that kidnapped a child reach his ears; lo and behold, as Juuzo returns to his office,  a giant robotic man with a boy on his back crashes in, asking for help. While Juuzou could just turn the guy in and be done with it, something about this situation is too fishy to ignore. It seems that everyone wants hold of this kid and, whether he likes it or not, Juuzou must find out why this Extended is on the run, how it connects to the Berühren Corporation, and just how far the treachery runs in this city.",TV,12.0,"Oct 11, 2019 to Dec 27, 2019",Finished Airing,"Sony Pictures Entertainment, TBS, AT-X, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Good Smile Film",Funimation,Madhouse,Manga,24,PG-13 - Teens 13 or older,4595.0,1182,287,72172.0,185896,2019-10-11,2019-12-27
7331,39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.36,"['Comedy', 'Romance']","Resolved to become a more independent person, Yukino Yukinoshita decides to smoothen things out with her parents, and the first step toward achieving that goal is to prove herself.

As graduation draws closer for the third-year students, Iroha Isshiki—the president of the student council—requests a graduation prom in collaboration with the Volunteer Service Club. Yukino accepts this request of her own volition, hoping to use it as a chance to demonstrate her self-reliance, but what lies ahead of her may prove to be a hard hurdle to cross.

Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan revolves around the graduation prom as emotions are poured into the preparations for the event. At the same time, a chance for the Volunteer Service Club members to better understand each other presents itself. And thus, Hachiman Hikigaya's hectic and bittersweet high school life begins to draw to a close.",TV,12.0,"Jul 10, 2020 to Sep 25, 2020",Finished Airing,"Marvelous, TBS, Movic, Delfi Sound, NBCUniversal Entertainment Japan",Sentai Filmworks,feel.,Light novel,24,PG-13 - Teens 13 or older,203.0,275,13589,372650.0,684732,2020-07-10,2020-09-25
7332,39551,Tensei shitara Slime Datta Ken 2nd Season,8.39,"['Action', 'Adventure', 'Comedy', 'Fantasy']","Taking a break from his time as a teacher, the powerful slime Rimuru Tempest returns to his kingdom, eponymously named Tempest, just in time to begin negotiations with a nearby nation—the Kingdom of Eurazania. While the negotiations are anything but peaceful, they do end successfully, allowing Rimuru to return and finish teaching. When trying to again return to Tempest, this time permanently, Rimuru is stopped by a mysterious figure who is somehow able to constrain the many magical abilities he has at his disposal. 

In Tempest, the situation is even worse. A group of unknown humans has invaded the land and are assaulting its citizens, both influential and innocent. They are not just trying to bring harm either—they have the intent to kill. Can Rimuru overcome his powerful and dangerous foe and return to Tempest before it is too late?",TV,12.0,"Jan 12, 2021 to Mar 30, 2021",Finished Airing,Kodansha,Funimation,8bit,Manga,23,PG-13 - Teens 13 or older,183.0,181,10380,499482.0,874549,2021-01-12,2021-03-30
7333,39567,Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,6.07,"['Action', 'Fantasy', 'Mystery']","In Tokyo, there exists a peaceful cohabitation between supernatural creatures—elves, dwarves, vampires, and more—and humans. However, contrary to history, powerful dragons once ruled over this world of creatures and humans but have since disappeared. Consequently, a diabolical group under the alias ""Nine,"" who seek the miracles of the once godlike dragons, stirs up trouble in the streets of Tokyo, commiting mass murder and causing destruction. To combat the dangerous group of Nine, the police organize the Special 7—a group of highly skilled professionals whose abilities exceed those of ordinary humans. 

Caught up in a bank robbery turned hostage crisis, Seiji Nanatsuki, having recently become a detective, has a chance encounter with Shiori Ichinose, a member of Special 7. Assisting with the resolution of the robbery, Seiji is recognized for his clear sense of justice and refreshing character, suddenly earning him a spot on the elite unit. 

As he takes on new missions, Seiji finds that being a detective as part of Special 7 isn't the police work he expected, where working alongside a team of different species with special abilities and vibrant personalities brings unpredictability to his daily life and police work. While the everyday crime in Tokyo continues, Seiji and the Special 7 will fight not only to resolve special cases, but also obstruct the ill-intentioned plans of the merciless group of Nine.",TV,12.0,"Oct 6, 2019 to Dec 29, 2019",Finished Airing,"Frontier Works, Lantis, Sega, AT-X, Ai Addiction, Hakuhodo DY Music & Pictures, Yomiuri TV Enterprise, Kadokawa, Bandai Namco Arts, Toyo Recording, arma bianca",Funimation,Anima&Co.,Original,23,PG-13 - Teens 13 or older,8493.0,3007,40,15651.0,46688,2019-10-06,2019-12-29
7340,39586,Hataraku Saibou!!,7.35,['Comedy'],"The cells of the human body never rest for too long; there's always something new to do and learn every day. At least, that's what Hakkekkyuu U-1146 feels as he rushes to and fro, searching for any pathogens that could cause harm to the body. Despite his dangerous line of work, it's all worth it to protect the happy smiles of Sekkekkyuu AE3803, the platelet crew, his fellow neutrophils, and the other cells he meets along the way. 

In his latest pathogen-hunting adventures, Hakkekkyuu U-1146 discovers how important cells can sometimes make mistakes, and that not all bacteria are actually bad. Everybody has their bad days, but everything eventually works out when their comrades have their backs. In the end, it's just another normal day for these hardworking cells!",TV,8.0,"Jan 9, 2021 to Feb 27, 2021",Finished Airing,"Aniplex, Kodansha, Magic Capsule",Aniplex of America,David Production,Manga,23,PG-13 - Teens 13 or older,2272.0,867,576,88473.0,258172,2021-01-09,2021-02-27
7344,39590,Africa no Salaryman (TV),6.55,['Comedy'],"Africa no Salaryman is a slapstick workplace comedy that follows the adventures of kind Lion, jaded Lizard, and perverted Toucan, as they trudge through office life while also becoming caught up in antics no regular office worker should. 

Of course, most of these are the fault of Toucan, whose selfish actions and lack of filter still haven't gotten him fired. It's up to Lizard and Lion to keep themselves out of trouble and hang on to their jobs at the office. But trouble is never too far away from these savannah-treading folk.",TV,12.0,"Oct 7, 2019 to Dec 23, 2019",Finished Airing,"Pony Canyon, Movic, Bandai Namco Live Creative, Ai Addiction, Sammy, Kadokawa Media House, Kadokawa, pH Studio",Funimation,HOTZIPANG,Web manga,23,PG-13 - Teens 13 or older,6089.0,4092,65,9048.0,25748,2019-10-07,2019-12-23
7347,39597,Sword Art Online: Alicization - War of Underworld,7.58,"['Action', 'Adventure', 'Fantasy']","Despite the defeat of Quinella—the pontifex of the Axiom Church—things have not seemed to calm down yet. Upon contacting the real world, Kazuto ""Kirito"" Kirigaya finds out that the Ocean Turtle—a mega-float controlled by Rath—was raided. Due to a sudden short-circuit caused by the raiders, Kirito's fluctlight is damaged, leaving him comatose. Feeling insecure about the people at the Axiom Church, Alice brings the unconscious Kirito back to their hometown—Rulid Village, disregarding her banishment due to an unabsolved crime. Now, Alice is living an ordinary and peaceful life close by the village, wishing for Kirito to wake up.

However, tragedy strikes when Alice notices that the Dark Territory has already started to invade the Human Empire. Reassuming her previous alias, Alice Synthesis Thirty, she promises to defeat the Dark Territory in order to defend the world that Kirito and Eugeo worked so hard to protect.",TV,12.0,"Oct 13, 2019 to Dec 29, 2019",Finished Airing,"Aniplex, Bandai Namco Entertainment, Egg Firm, Straight Edge, Kadokawa, Sonilude",Aniplex of America,A-1 Pictures,Light novel,23,R - 17+ (violence & profanity),1421.0,250,3544,426264.0,716174,2019-10-13,2019-12-29
7349,39609,Ochikobore Fruit Tart,6.78,['Slice of Life'],"Ino Sakura has just moved to Tokyo to join the newly formed Fruit Tart, an idol group composed of three members besides herself—Roko Sekino, a washed-up child actor; Hayu Nukui, a failed musician; and Nina Maehara, a model who is still waiting for her first gig. They soon begin their new life together in their dormitory, the Mouse House. But there is no time to get settled as the girls awaken to a shocking reality: Fruit Tart is in a deep debt of one hundred million yen and has not even started yet!

With the possibility of Fruit Tart breaking up and the Mouse House being torn down if they cannot repay the money, the girls must work their way up from the bottom of idol society by making a name for themselves and writing their own songs. Luckily, Hemo Midori, an experienced idol, is a huge fan of Sakura and decides to join the group. With smiles on their faces, Sakura and the other girls work hard to become popular idols while making sure that each day is as fun as the last.",TV,12.0,"Oct 12, 2020 to Dec 28, 2020",Finished Airing,"Studio Mausu, Kadokawa",Funimation,feel.,4-koma manga,23,PG-13 - Teens 13 or older,4944.0,3406,87,10980.0,37553,2020-10-12,2020-12-28
7351,39617,Yakusoku no Neverland 2nd Season,5.3,"['Fantasy', 'Sci-Fi', 'Suspense']","Emma, Ray, and the rest of the older children have escaped the confines of the Grace Field House. However, with relentless demons set on capturing them, their arduous battle for freedom has only just begun.

Despite venturing into the treacherous wilderness, the children remain optimistic due to their possession of books written by William Minerva. Coded within his books are messages detailing the world outside the farm—information that can help them survive with the limited resources they have. But when their pursuers draw near, the children soon encounter their most dreadful situation yet. 

In Yakusoku no Neverland 2nd Season, the children struggle to survive in the strange ruthless world, striving to find a sanctuary they can truly call home.",TV,11.0,"Jan 8, 2021 to Mar 26, 2021",Finished Airing,"Aniplex, Shueisha",Aniplex of America,CloverWorks,Manga,22,R - 17+ (violence & profanity),11346.0,176,4510,446031.0,882306,2021-01-08,2021-03-26
7373,39681,D4DJ First Mix,7.64,['UNKNOWN'],"Having lived abroad in Africa for most of her life, Rinku Aimoto is now returning to Japan to attend Yoba Academy, a school where DJ units—groups made up of DJs, vocalists, and dancers—are extremely popular. There, she meets Maho Akashi, an aspiring DJ who teaches Rinku the basics of DJing. The girls attend a performance by Yoba's famous DJ unit Peaky P-key, and struck by inspiration, they decide to form a unit of their own.

Rinku and Maho soon recruit Muni Oonaruto, a talented artist and Rinku's childhood friend, as well as Rei Togetsu, a shy and caring pianist. Newly named Happy Around, the group aims to use the budding friendships and combined talents of its members to become one of the top DJ units in the country.",TV,13.0,"Oct 23, 2020 to Jan 29, 2021",Finished Airing,Bushiroad,Sentai Filmworks,SANZIGEN,Mixed media,23,PG-13 - Teens 13 or older,1269.0,3425,476,14595.0,37184,2020-10-23,2021-01-29
7382,39725,I★Chu: Halfway Through the Idol,6.57,"['Comedy', 'Slice of Life']","School begins at Étoile Vio School, where idol-hopeful students known as ""I-Chu"" will undergo training to become full-fledged idols. However, things are off to a strange start when the new students are given a speech from their bear principal?! The I-Chu work steadily toward their goals and ask, ""What is an idol?"" Each boy will learn to shine as they struggle to find their answer.

(Source: MAL News)",TV,12.0,"Jan 6, 2021 to Mar 24, 2021",Finished Airing,"Half H.P Studio, Twin Engine",Muse Communication,Lay-duce,Game,24,PG-13 - Teens 13 or older,5974.0,5020,118,4586.0,15988,2021-01-06,2021-03-24
